city,temperature,humidity,weather,datetime
Kuala Lumpur,32.36,69,few clouds,2025-06-11 13:57:42
Jakarta,31.22,66,light rain,2025-06-11 13:57:42
Bangkok,31.7,64,overcast clouds,2025-06-11 13:57:42
Singapore,30.42,65,scattered clouds,2025-06-11 13:57:42
Manila,29.26,79,overcast clouds,2025-06-11 13:57:43
